INFO 2024-10-03 15:24:48,373 basehttp "GET /__debug__/history_sidebar/?store_id=d31a6abb56ad4a65929f5b8eef1450db HTTP/1.1" 200 8356
INFO 2024-10-03 15:24:49,751 basehttp "GET /data-browser/query/auth.User/.json?&limit=1000 HTTP/1.1" 200 115
INFO 2024-10-03 15:24:49,993 basehttp "GET /__debug__/history_sidebar/?store_id=c2640858ef2447d389825b026c845ba4 HTTP/1.1" 200 8355
INFO 2024-10-03 15:24:51,809 basehttp "GET /data-browser/query/auth.User/email.json?&limit=1000 HTTP/1.1" 200 312
INFO 2024-10-03 15:24:52,064 basehttp "GET /__debug__/history_sidebar/?store_id=e4110712a5044e75b9704f0f3f5a3907 HTTP/1.1" 200 8360
INFO 2024-10-03 15:24:59,982 basehttp "GET /__debug__/render_panel/?store_id=52a10d953ac34356bf5773d034920f7b&panel_id=SQLPanel HTTP/1.1" 200 24806
INFO 2024-10-03 15:25:03,711 basehttp "POST /__debug__/sql_explain/ HTTP/1.1" 200 2387
INFO 2024-10-03 15:25:04,357 basehttp "POST /__debug__/sql_select/ HTTP/1.1" 200 2789
INFO 2024-10-03 15:25:04,723 basehttp "POST /__debug__/sql_explain/ HTTP/1.1" 200 2275
INFO 2024-10-03 15:25:06,622 basehttp "GET /data-browser/favicon-32x32.png HTTP/1.1" 304 0
INFO 2024-10-03 15:25:06,837 basehttp "GET /data-browser/query/auth.User/.json?&limit=1000 HTTP/1.1" 200 115
INFO 2024-10-03 15:25:07,027 basehttp "GET /__debug__/history_sidebar/?store_id=bb8203293dca4d4eb95433b843241991 HTTP/1.1" 200 8355
INFO 2024-10-03 15:25:07,968 basehttp "GET /admin/ HTTP/1.1" 200 29459
INFO 2024-10-03 15:25:09,163 basehttp "GET /data-browser/api/views/ HTTP/1.1" 200 443
INFO 2024-10-03 15:25:18,022 basehttp "GET /__debug__/render_panel/?store_id=119e414c4c7b48ea9d29fea77bf26f9f&panel_id=TimerPanel HTTP/1.1" 200 1382
INFO 2024-10-03 15:25:18,039 basehttp "GET /static/debug_toolbar/js/timer.js HTTP/1.1" 200 3686
INFO 2024-10-03 15:25:46,936 basehttp "GET /swagger HTTP/1.1" 301 0
INFO 2024-10-03 15:25:48,487 basehttp "GET /swagger/ HTTP/1.1" 200 14297
INFO 2024-10-03 15:25:48,522 basehttp "GET /static/drf-yasg/style.css HTTP/1.1" 200 1047
INFO 2024-10-03 15:25:48,541 basehttp "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 200 145206
INFO 2024-10-03 15:25:48,548 basehttp "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 200 2093
INFO 2024-10-03 15:25:48,556 basehttp "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2024-10-03 15:25:48,575 basehttp "GET /static/drf-yasg/immutable.min.js HTTP/1.1" 200 56904
INFO 2024-10-03 15:25:48,588 basehttp "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 200 14964
INFO 2024-10-03 15:25:48,595 basehttp "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2024-10-03 15:25:48,639 basehttp "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 200 1046583
INFO 2024-10-03 15:25:48,644 basehttp "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 200 322863
INFO 2024-10-03 15:25:48,731 basehttp "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2024-10-03 15:25:48,731 basehttp "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2024-10-03 15:25:48,815 basehttp "GET /static/drf-yasg/swagger-ui-dist/favicon-32x32.png HTTP/1.1" 200 628
INFO 2024-10-03 15:25:50,377 basehttp "GET /swagger/?format=openapi HTTP/1.1" 200 36037
INFO 2024-10-03 15:25:50,607 basehttp "GET /__debug__/history_sidebar/?store_id=e81bbc9f657e4e6caa903811f1845eaa HTTP/1.1" 200 8333
